Gender,Education,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,year,month,day,cancel_year,cancel_month,tenure,NumFlights,NumFlightsWithCompanions,DistanceKM,PointsAccumulated,PointsRedeemed
female,Bachelor,70146.0,Married,Star,3839.14,Standard,2019,2,15,,,,189.6,56.1,507054.9,50699.39,13517.9
male,College,0.0,Divorced,Star,3839.61,Standard,2019,3,9,,,,279.1,32.2,426827.4,42672.54,22457.8
male,College,0.0,Single,Star,3839.75,Standard,2017,7,14,2021.0,1.0,4.0,120.0,39.9,238376.1,23832.41,5479.6
male,College,0.0,Single,Star,3839.75,Standard,2016,2,17,,,,195.9,58.5,386029.3,38595.63,16331.5
male,Bachelor,97832.0,Married,Star,3842.79,2021 Promotion,2017,10,25,,,,170.7,62.9,369242.6,36916.56,0.0
male,Bachelor,26262.0,Married,Star,3844.57,Standard,2015,5,7,,,,450.4,80.10000000000001,946009.9,94584.99,15627.3
female,College,0.0,Single,Star,3857.95,Standard,2017,6,9,,,,196.1,34.0,519316.7,51924.87,21597.7
male,Bachelor,93272.0,Married,Star,3861.49,Standard,2019,12,8,,,,215.1,66.2,429297.5,42923.85,7877.9
female,Bachelor,93272.0,Married,Star,3861.49,Standard,2018,5,30,,,,149.5,54.6,354477.9,35441.79,19443.6
male,Bachelor,93272.0,Married,Star,3861.49,Standard,2019,10,14,,,,220.1,71.1,304401.1,30432.81,21525.4
female,Bachelor,47199.0,Married,Star,3863.31,Standard,2018,3,17,,,,240.8,55.1,431374.6,43128.26,7655.1
female,Bachelor,24204.0,Married,Star,3864.78,Standard,2019,6,11,,,,153.6,51.5,377043.4,37694.74,13026.0
male,Bachelor,79628.0,Single,Star,3867.97,Standard,2021,1,28,,,,86.0,22.0,172074.0,17203.0,3453.0
male,College,0.0,Single,Star,3871.07,Standard,2016,10,13,,,,314.7,88.1,557976.5,55788.05,14951.1
female,College,0.0,Single,Star,3872.22,Standard,2019,11,29,,,,148.4,57.1,417477.6,41743.26,25912.1
male,Master,28142.0,Married,Star,3873.65,Standard,2019,8,25,,,,197.1,67.9,392065.8,39200.78,19419.9
female,Master,28142.0,Married,Star,3873.65,Standard,2019,12,6,,,,129.9,31.0,390214.8,39010.28,13087.9
male,Bachelor,84981.0,Married,Star,3878.77,Standard,2016,10,30,,,,268.9,53.2,462129.8,46205.88,4030.0
female,College,0.0,Married,Star,3883.4,2021 Promotion,2021,2,9,,,,206.0,52.5,388906.4,38883.94,0.0
female,College,0.0,Married,Star,3885.46,Standard,2017,10,23,2021.0,1.0,4.0,134.0,51.3,297077.4,29703.54,0.0
female,College,0.0,Married,Star,3885.46,Standard,2018,7,30,,,,189.5,71.8,289750.1,28970.01,25986.4
male,College,0.0,Married,Star,3885.46,Standard,2021,11,18,,,,11.0,6.0,21013.0,2101.0,0.0
male,College,0.0,Married,Star,3885.46,Standard,2019,3,22,,,,169.7,62.6,410837.6,41074.36,23104.0
male,College,0.0,Single,Star,3886.5,Standard,2017,5,21,,,,140.3,37.7,241803.6,24173.36,2626.0
female,Bachelor,78108.0,Single,Star,3886.65,Standard,2019,5,21,,,,215.0,64.4,514489.0,51440.4,22943.8
female,Bachelor,96335.0,Single,Star,3887.32,Standard,2018,6,20,,,,169.2,23.9,362230.8,36215.78,0.0
male,Bachelor,91182.0,Married,Star,3890.87,Standard,2019,10,31,,,,254.1,81.7,525735.1,52564.71,7257.0
female,Bachelor,91182.0,Married,Star,3890.87,Standard,2020,10,9,,,,94.3,31.5,223762.4,22370.44,11202.0
